PARAMETROS	UNIDAD_ORG	RESPUESTA
REMITE OFICIO N°581-2019-MDP-A DE LA MUNICIPALIDAD DISTRITAL DE PUCAYACU, SOLICITA FINANCIAMIENTO PARA LA INSTALACIÓN DE PUENTES MODULARES. MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO	ATENDIDO CON OFICIO N° 120-2020-MTC/21.GIE AL SR. LUIS GOMEZ LOZANO ALCALDE DE LA MUNIC. DIST. DE PUCAYACU - HUANUCO EXP. PVD N° E012000392.

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD REFERENTE A LA CARPETA FISCAL N° 2379-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA QUE SE REMITA EL DECRETO  LEGISLATIVO Y SU REGLAMENTO DONDE PRECISE CUAL ES EL TRAMITE A SEGUIR CUANDO SE PIERDEN EQUIPAJES DE LA BODEGA DEL VEHÍCULO/SEXTA FISCALIA PROVINCIAL PENAL CORPORATIVA /CASO N° 0980-2019MINISTERIO PUBLICO	DIRECCION GENERAL DE POLITICAS Y REGULACION EN TRANSPORTE MULTIMODAL-(NUEVO-ROF)	NULL

SOLICITA INFORME SOBRE LAS GESTIONES REALIZADAS PARA LA ATENCIÓN DEL ESCRITO E-295094-2019DEFENSORIA DEL PUEBLO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

REMITO VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N°2554-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

COMISION ESPECIAL LEY N° 28933: PRESENTA EN SOBRE CERRADO CONFIDENCIAL MINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO MINISTERIAL	MONICA GUERRERO ACEVEDO - SECRETARIA TÉCNICA - COMISIÓN ESPECIAL - LEY N' 28933 - MINISTERIO DE ECONOMIA Y FINANZAS

SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA DE AREQUIPA:  REF: CASO N °1506014502-2018-2738-0. REMITE DISPOSICION FISCAL DE NO FORMALIZAR Y CONTINUAR CON LA INVESTIGACION PREPARATORIA. MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	"SE TOMÓ CONOCIMIENTO EN BASE DE DATOS  SE VERIFICA SU SITUACIÓN  ""NO OPERA"""

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-715-0/INVESTIGADO RICHAR EDDY ARENAS ROCHA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/04 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N°2006014504-2019-1497-0/IMPUTADO EDISON BARRUETA TARAZONAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

LA FISCALIA SUPRAPRONVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS TERCER DESPACHO EQUIPO ESPECIAL: REMITE EN SOBRE RESERVADO EL OFICIO N°4-2020-EE/FSUPRAPCEDCF-MP-FN CCE:3-2019 DIRIGIDO AL SR. MINISTRO MTC EDMER TRUJILLO MORI MINISTERIO PUBLICO	DESPACHO MINISTERIAL	"ANGELA ELIZABETH ZULOAGA BAYES

FISCAL ADJUNTO PROVINCIAL

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCONARIOS - EQUIPO ESPECIAL"

SEGUNDO DESPACHO DE INVESTIGACION -PRIMERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE LA CONVENCION: SOLICITA SE REMITA DE MANERA URGENTE RESPECTO AL PRONUNCIAMIENTO ADMINISTRATIVO A RAZON DE LA SOLICITUD POR AMERICA MOVIL PERU SAC. POR INSTALACION DE UNA INFRAESTRUCTURA DE TELECOMUNICACIONES. MINISTERIO PUBLICO	DIRECCION GENERAL DE POLITICAS Y REGULACION EN COMUNICACIONES-(NUEVO-ROF)	OFICIO DIRIGIDO A LA EMPRESA AMÉRICA MOVIL PERÚ S.A.C. CON FECHA 26-02-20.

OFICINA DE SERVICIOS GENERALES: SOLICITA CONFIRMAR VERACIDAD DE DOCUMENTOS: CERTIFICADDO N° 151602586 DE LA PLACA N° D7K-870 Y OTROS. EN EL PLAZO DE 03 DIAS HABILES MINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	"SE PROCEDE A FINALIZAR CON OFICIO Nº 498-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY

"

PRIMERA FISCALIA ESPECIALIZADA EN MATERIA MABIENTAL DE PUNO: SOLICITA EN EL PLAZO DE 07 DIAS UN INFORME DE LA EMPRESA DE TRANSPORTE Y SERVICIO LOGISTICO VALERA EIRL SI CUENTA CON AUTORIZACION PARA SERVICIO DE RESIDUOS PELIGROSOS. MINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	SE  ANEXA  ACTA DE  NOTIFICACIÓN DEL  OFICIO  N°-204-2020-MTC/17-02,   ADJUNTA   REPORTES,  SE  FINALIZA  Y  SE HACE ENTREGA  LA RELACIÓN DE  DOCUMENTOS  FINALIZADOS  AL  (E)  DEL  ARCHIVO -DSTT JUAN  GODOY,  PARA   SU   CUSTODIA  Y  ARCHIVO.

NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N° 3006064501-2019-2560-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

TERCERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA: SOLIICTA SE INFORME SI EL SR. NICK ROY CHAVEZ DAVILA CUENTA CON LICENCIA DE CONDUCIR Y OTROS. MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1696-0/IMPUTADO JESUS JHERIMU SILVA LOBATÓNMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

DESPACHO DE LA FISCALIA PROVINCIAL TRANSITORIA DE EXTINCION DE DOMINIO DE PIRA: SOLICITA EN CALIDAD DE RESERVADO EN EL PLAZO DE 03 DIAS , SI EL CAMION DE PLACA DE RODAJE N° W4T-862 CUENTA CON CERTIFICADO DE HABILITACION VEHICULAR DE TRANPORTE EN MERCANCIAS. MINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	"SE PROCEDE A FINALIZAR CON OFICIO Nº 502-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY

"

SOLICITA INFORME SOBRE LA SITUACIÓN DEL SNS DEL MTC Y SOBRE LAS MEDIDAS QUE DISPONDRÁN PARA SU ADECUADA ACTUALIZACIÓN RESPECTO A LA PAPELETA 10770722DEFENSORIA DEL PUEBLO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	"SE FINALIZA EN VIRTUD DEL OFICIO 599-2020-MTC/17.03 DEL 14.01.2020.

PASA AL ARCHIVO DE LA DCV PARA SU CUSTODIA."

SOLICITAN  ACTUALIZACIÓN DE COMPROMISOS DE TIPO ACTIVIDAD DE LAS MESAS DE DIALOGO DEL CORREDOR VIAL SUR- ADJ CDPCM	OFICINA DE DIALOGO Y GESTION SOCIAL-(NUEVO-ROF)	SE REMITO LA INFORMACIÓN SOLICITADA A LOS CORREOS INDICADOS: EBAUTISTA@PCM.GOB.PE CON COPIA A SGSD24@PCM.GOB.PE Y SGSD3@PCM.GOB.PE.

SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA , DISTRITO JUDICIAL DE CAÑETE: SOLIICTA SE INFORME SI EL VEHICULO DE PLACA DE RODAJE NRO AMB-810  SE ENCUENTRA AUTORIZADO PARA TRASLADO DE MATERIALES Y RESIDUOS PELIGROSOS. MINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	SE  ANEXA  ACTA  DE  NOTIFICACIÓN DEL OFICIO  N°- 203-2020-MTC/17.02,  ADJUNTA  REPORTES,  SE FINALIZA  Y  SE HACE ENTREGA FÍSICAMENTE  LA  RELACIÓN  DE DOCUMENTOS FINALIZADOS   AL  (E)   DEL  ARCHIVO  DSTT- JUAN  GODOY,  PARA   SU  CUSTODIA  Y  ARCHIVO.

RESPECTO A SOLICITUD DE INFORMACIÓN COMPLEMENTARIA SOBRE ACCIONES DE FISCALIZACIÓN AMBIENTAL. MINISTERIO PUBLICO	ORGANO DE CONTROL INSTITUCIONAL	SE ATENDIO CON OFICIO N°0215-2020-MTC/16

CONDUCCION ESTADO DE EBRIEDAD O DROGADICCIONMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

 REMITEN INFORMACIÓN EN REF. A HORARIOS DE ATENCIÓN, DE LOS CENTROS DE MEJOR ATENCIÓN AL CIUDADANO DE LA PLATAFORMA DEL MODULO MAC, ADJUNTAN COPIA DE RESOLUCIÓN DE SECRETARIA DE GESTIÓN PUBLICA N° 009-2019-PCM/SGPPCM	SECRETARIA GENERAL	SARA MARIA AROBES ESCOBAR - SECRETARIA DE GESTION PUBLICA - PRESIDENCIA DE CONSEJO DE MINISTROS.

CONDUCCIÓN, OPERACIÓN O MANIOBRA DE VEHÍCULO MOTORIZ/03 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014503-2018-1733-0/IMPUTADO IVAN SOTO TARAZONA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

QUINCUAGESIMA TERCERA FISCALIA PROVINCIAL PENAL: SOLICITA SE INFORME SI LA PERSONA JORGE PRADO ROMERO TIENE VINCULO LABORAL CON EL MTC. MINISTERIO PUBLICO	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	SE NOTIFICO EL OFICIO Nº 023-2020-MTC/11.

TRIGESIMA TERCERA FISCALIA PROVINCIAL PENAL DEL DISTRITO FISCAL DE LIMA:  SOLICITA SE REMITA EN EL PLAZO DE 05 DIAS HABILES COPIAS CERTIFICADAS DEL EXPEDIENTE ADMINSITRATIVO N °2015-2975 SOBRE SOLICITUD DEL CERTIFICADO DE HABILITACION TECNICA DEL TERMINAL DE LA EMPRESA DE TRANSPORTES EL HUARALINO SAC. MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)	"SE PROCEDE A FINALIZAR CON OFICIO Nº 924-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY

"

DELITO DE PELIGRO COMÚN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-1565-0/INVESTIGADO MARLON KENYO CAPCHA CABALLERO MINISTERIO PUBLICO	PROCURADURIA PUBLICA	INFORME DE ARCHIVO POR PROCESO CONCLUIDO POR PAGO DE REPARACIÓN CIVIL

SOLICITA INFORMACION PARA EL INFORME DE ACTUALIZACION DE PROYECCIONES MACROFISCALES DEL MARCO EN  MACROECONOMICO MULTIANUAL. EL PLAZO MAXIMO DE 15 DIAS HABILESMINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA: SOLIICTA SE REMITA EL RECORD DE TRANSITO QUE PUDIERA EXISTIR REGISTRADO A NOMBRE DE LOS INVESTIGADOS EDDY SILVESTRE MORANTE MIMBELA Y OTROS. MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

TERCERA FISCALIA PROVINCIAL PENAL DE HUAMANGA: SOLICITA SE REMITA COPIA CERTIFICADA DEL EXPEDIENTE INTEGRO GENERANDO PAR ALA OBTENCION DE LA LICENCIA DE CONDUCIR DE CARLOS LOPEZ PERALTA. MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1366-0/IMPUTADO EFRAIN CHAVEZ MALPARTIDA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"

"REMITE INFORME DEL HITO DE CONTROL N° 001-2020-CG/MPROY-SCC, HITO DE CONTROL N° 2 ""CULMINACIÓN DE OBRA Y PROCEDIMIENTO DE RECEPCIÓN DE OBRA"" ADJ 01 ANILLADO.CONTRALORIA GENERAL DE LA REPUBLICA"	DIRECCION GENERAL DE AERONAUTICA CIVIL	SE ATENDIÓ CON OFICIO N° 008-2020-MTC/12.08 

USO DE DOCUMENTO FALSO O FALSIFICADO /05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-410-0/IMPUTADO PEDRO BAUTISTA LUNA Y DONATO BERROSPI GARAYMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

REMITE DISPOSICIÓN FISCAL N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014508-2019-2185-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"CASO NRO 2906014500-2019-9080-0



MATERIA: DAÑOSMINISTERIO PUBLICO"	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

SOLICITA EN UN PLAZO DE 10 DÍAS HÁBILES INFORME RESPECTO A LAS MEDIDAS DISPUESTAS PARA ATENDER PROBLEMÁTICA DEL CIUDADANO OMAR SATURNINO MARCA ILLANES.DEFENSORIA DEL PUEBLO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	"SE FINALIZA EN VIRTUD DEL OFICIO 511-2020-MTC/17.03 DEL 14.01.2020.

PASA AL ARCHIVO DE LA DCV PARA SU CUSTODIA."

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/04 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014504-2019-1282-0/INVESTIGADO JHON GOMEZ ROBLES MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

COPIA INFORMATIVA - TRASLADA DOCUMENTO A FIN DE DETERMINAR EL ÁREA A EXPROPIAR DE LOS PREDIOS. REMITIDO POR LA SRA. LILIANA ELIZABETH AHUMADA FARIAS - PIURA.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

SOLICITA EN UN PLAZO DE 10 DÍAS HÁBILES INFORME RESPECTO A LAS MEDIDAS DISPUESTAS PARA ATENDER PROBLEMÁTICA DEL CIUDADANO WILLY VARGAS GARCIASDEFENSORIA DEL PUEBLO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	"SE FINALIZA EN VIRTUD DEL OFICIO Nº 1497-2020-MTC/17.03 DEL 24.01.2020.

PASA AL ARCHIVO DE LA DCV PARA SU CUSTODIA."

NOTIFICA DISPOSICIÓN N°02-2019, REFERENTE AL CASO N° 3006064501-2019-2028-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

FISCALIA ESPECIALIZADA EN PREVENCIÓN DE DELITO  ILO: SOLICITA SE INFORME SI SE HA REALZIADO ACTOS DE FISCALIZACION EN LA INSTAACION DE LA ANTENA DE LA EMPRESA BITEL UBICADO EN ILO. MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	NULL

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A LA CARPETA FISCAL N°2552-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

EN REF. AL OFICIO 228-2019-2020-ADP-R/CR,  REMITEN INFORMACIÓN EN SOBRE CRONOGRAMA DE LA REALIZACIÓN DE TALLERES INFORMATIVOS DEL PROYECTO TERMINAL PORTUARIO  DE CHANCAYPCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE TOMO CONOCIMIENTO Y SE ENVIO COPIA A LA APN Y A LA DGAAM 

CONVOCAN A PARTICIPAR EN REUNIÓN DE SUBGRUPO N° 1 INVERSIONES Y DESARROLLO DE LA MESA DE DIALOGO POR DESARROLLO SOSTENIBLE DE LA PROVINCIA DE ESPINAR CUSCO - EL DIA 14 DE ENERO A LAS 9:00 AM PCM	DIRECCION GENERAL DE ASUNTOS AMBIENTALES-(NUEVO-ROF)	ATENDIDO CON MEMORANDUM N° 0034-2020-MTC/16.

REMITE EL INFORME N° 006-2020-EF/63.03 SOBRE VALIDACION METODOLOGICA A LOS INDICADORES DE BRECHAS DE INFRAESSTEUCTURA O DE ACCESO A SERVICIOS. MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO	ATENDIDO MEMO. N° 040-2020-MTC/09 DE FECHA 07.01.2020 ANEXO 1, PROYECTO RM E INFORME N° 004-2020-MTC/09.02 FECHA 06.01.2020

COMUNICA QUE NO SE IDENTIFICÓ FALTA ALGUNA ANTE DENUNCIA CON CODIGO SC-1195-2019MINISTERIO PUBLICO	DIRECCION GENERAL DE ASUNTOS AMBIENTALES-(NUEVO-ROF)	SE ATENDIÓ CON OFICIO N°0543-2020-MTC/16

TRASLADA DOCUMENTACIÓN PRESENTADA POR LA  CONFEDERACIÓN NACIONAL DE MINEROS ARTESANALES  Y PEQUEÑOS PRODUCTORES MINEROS DEL PERU, QUIENES SOLICITAN AUTORIZACIÓN PARA EJECUTAR PROYECTO MEGA TERMINAL MULTIMODAL ISLA SAN LORENZO PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS - REMITE COBRE CERRADO COMO RESERVADO.MINISTERIO PUBLICO	DESPACHO MINISTERIAL	ANGELA ELIZABETH ZULOAGA BAYES - FISCAL ADJUNTA PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS - TERCER DESPACHO

REMITEN EXPEDIENTE RESUELTO POR EL TRIBUNAL FISCAL , DE LA EMPRESA DE TRANSPORTES Y TURISMO CHALLENGER SA. + ADJUNTA 01 FOLDER. MINISTERIO PUBLICO	OFICINA GENERAL DE ADMINISTRACION	NULL

 CONVOCAN A PARTICIPA EN REUNIÓN DE TRABAJO ENTRE EL GOBIERNO NACIONAL Y LA PROVINCIA DE PARURO QUE SE LLEVARA ACABO EL DÍA 17 DE ENERO 2020 EN EL SALÓN CONSISTORIAL DE LA MUNICIPALIDAD PROVINCIAL DE PARURO A LAS 10:00AMPCM	SECRETARIA GENERAL	SE ASISTIÓ A REUNIÓN CONVOCADA

SEXTA FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUANUCO: SOLICITA SE PRECISE CUAL ES EL TRAMITE A SEGUIR CUANDO SE PIERDEN EQUIPAJES DE LA BODEGA DE UN VEHICULO MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)	NULL

NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N°3006064501-2019-2554-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA INFORMACIÓN RESPECTO A EMERGENCIA AMBIENTAL OCURRIDO EL 25 DE SEPTIEMBRE POR LA EMPRESA TRANSJYR EIRLMINISTERIO PUBLICO	DIRECCION GENERAL DE ASUNTOS AMBIENTALES-(NUEVO-ROF)	SE ATENDIÓ CON OFICIO N°0385-2020-MTC/16

