NUM_DOCUMENTO_STD	FECHA_CREA	FECHA_FINALIZACION	MES_F	MES_F_1	MES_CREA	MES_CREA_1	ANIO_INGRESO	ASUNTO	D_T	INSTITUCION	RESPUESTA	CUERPO	UNIDAD_ORG
E-003871-2020	06-01-2020 04:23:55 PM	10-01-2020 02:38:51 PM	01	ENERO     	01	ENERO     	2020	SOLICITA INFORME SOBRE LAS GESTIONES REALIZADAS PARA LA ATENCIÓN DEL ESCRITO E-295094-2019	4	DEFENSORIA DEL PUEBLO	NULL	NULL	DESPACHO VICEMINISTERIAL DE TRANSPORTES
E-003529-2020	06-01-2020 02:43:19 PM	12-07-2020 02:24:38 PM	07	JULIO     	01	ENERO     	2020	REMITO VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N°2554-2019	130	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-005881-2020	07-01-2020 05:59:09 PM	23-01-2020 02:09:23 PM	01	ENERO     	01	ENERO     	2020	COMISION ESPECIAL LEY N° 28933: PRESENTA EN SOBRE CERRADO CONFIDENCIAL 	12	MINISTERIO DE ECONOMIA Y FINANZAS	MONICA GUERRERO ACEVEDO - SECRETARIA TÉCNICA - COMISIÓN ESPECIAL - LEY N' 28933 - MINISTERIO DE ECONOMIA Y FINANZAS	NULL	DESPACHO MINISTERIAL
E-003211-2020	06-01-2020 12:11:07 PM	07-01-2020 03:02:41 PM	01	ENERO     	01	ENERO     	2020	SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA DE AREQUIPA:  REF: CASO N °1506014502-2018-2738-0. REMITE DISPOSICION FISCAL DE NO FORMALIZAR Y CONTINUAR CON LA INVESTIGACION PREPARATORIA. 	0	MINISTERIO PUBLICO	"SE TOMÓ CONOCIMIENTO EN BASE DE DATOS  SE VERIFICA SU SITUACIÓN  ""NO OPERA"""	NULL	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)
E-002790-2020	06-01-2020 09:16:44 AM	12-07-2020 02:18:38 PM	07	JULIO     	01	ENERO     	2020	SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-715-0/INVESTIGADO RICHAR EDDY ARENAS ROCHA 	130	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-006286-2020	08-01-2020 09:40:04 AM	10-07-2020 02:35:26 PM	07	JULIO     	01	ENERO     	2020	SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/04 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N°2006014504-2019-1497-0/IMPUTADO EDISON BARRUETA TARAZONA	128	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-003105-2020	06-01-2020 11:32:59 AM	10-01-2020 05:44:52 PM	01	ENERO     	01	ENERO     	2020	LA FISCALIA SUPRAPRONVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS TERCER DESPACHO EQUIPO ESPECIAL: REMITE EN SOBRE RESERVADO EL OFICIO N°4-2020-EE/FSUPRAPCEDCF-MP-FN CCE:3-2019 DIRIGIDO AL SR. MINISTRO MTC EDMER TRUJILLO MORI 	4	MINISTERIO PUBLICO	"ANGELA ELIZABETH ZULOAGA BAYES
FISCAL ADJUNTO PROVINCIAL
FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCONARIOS - EQUIPO ESPECIAL"	NULL	DESPACHO MINISTERIAL
E-008121-2020	09-01-2020 10:59:16 AM	05-03-2020 11:30:22 AM	03	MARZO     	01	ENERO     	2020	SEGUNDO DESPACHO DE INVESTIGACION -PRIMERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE LA CONVENCION: SOLICITA SE REMITA DE MANERA URGENTE RESPECTO AL PRONUNCIAMIENTO ADMINISTRATIVO A RAZON DE LA SOLICITUD POR AMERICA MOVIL PERU SAC. POR INSTALACION DE UNA INFRAESTRUCTURA DE TELECOMUNICACIONES. 	40	MINISTERIO PUBLICO	OFICIO DIRIGIDO A LA EMPRESA AMÉRICA MOVIL PERÚ S.A.C. CON FECHA 26-02-20.	NULL	DIRECCION GENERAL DE POLITICAS Y REGULACION EN COMUNICACIONES-(NUEVO-ROF)
E-008139-2020	09-01-2020 11:03:34 AM	20-01-2020 04:16:43 PM	01	ENERO     	01	ENERO     	2020	OFICINA DE SERVICIOS GENERALES: SOLICITA CONFIRMAR VERACIDAD DE DOCUMENTOS: CERTIFICADDO N° 151602586 DE LA PLACA N° D7K-870 Y OTROS. EN EL PLAZO DE 03 DIAS HABILES 	7	MINISTERIO PUBLICO	"SE PROCEDE A FINALIZAR CON OFICIO Nº 498-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY
"	NULL	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)
E-003246-2020	06-01-2020 12:30:23 PM	29-01-2020 11:11:35 AM	01	ENERO     	01	ENERO     	2020	PRIMERA FISCALIA ESPECIALIZADA EN MATERIA MABIENTAL DE PUNO: SOLICITA EN EL PLAZO DE 07 DIAS UN INFORME DE LA EMPRESA DE TRANSPORTE Y SERVICIO LOGISTICO VALERA EIRL SI CUENTA CON AUTORIZACION PARA SERVICIO DE RESIDUOS PELIGROSOS. 	17	MINISTERIO PUBLICO	SE  ANEXA  ACTA DE  NOTIFICACIÓN DEL  OFICIO  N°-204-2020-MTC/17-02,   ADJUNTA   REPORTES,  SE  FINALIZA  Y  SE HACE ENTREGA  LA RELACIÓN DE  DOCUMENTOS  FINALIZADOS  AL  (E)  DEL  ARCHIVO -DSTT JUAN  GODOY,  PARA   SU   CUSTODIA  Y  ARCHIVO.	NULL	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)
E-003734-2020	06-01-2020 03:40:17 PM	12-07-2020 02:19:12 PM	07	JULIO     	01	ENERO     	2020	NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N° 3006064501-2019-2560-0	130	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-007802-2020	09-01-2020 08:37:35 AM	22-01-2020 03:17:37 PM	01	ENERO     	01	ENERO     	2020	TERCERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA: SOLIICTA SE INFORME SI EL SR. NICK ROY CHAVEZ DAVILA CUENTA CON LICENCIA DE CONDUCIR Y OTROS. 	9	MINISTERIO PUBLICO	SE ATENDIO.	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
E-004740-2020	07-01-2020 10:39:59 AM	10-07-2020 02:38:34 PM	07	JULIO     	01	ENERO     	2020	CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1696-0/IMPUTADO JESUS JHERIMU SILVA LOBATÓN	129	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-008163-2020	09-01-2020 11:09:28 AM	29-01-2020 05:14:00 PM	01	ENERO     	01	ENERO     	2020	DESPACHO DE LA FISCALIA PROVINCIAL TRANSITORIA DE EXTINCION DE DOMINIO DE PIRA: SOLICITA EN CALIDAD DE RESERVADO EN EL PLAZO DE 03 DIAS , SI EL CAMION DE PLACA DE RODAJE N° W4T-862 CUENTA CON CERTIFICADO DE HABILITACION VEHICULAR DE TRANPORTE EN MERCANCIAS. 	14	MINISTERIO PUBLICO	"SE PROCEDE A FINALIZAR CON OFICIO Nº 502-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY
"	NULL	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)
E-003856-2020	06-01-2020 04:19:46 PM	17-01-2020 05:32:18 PM	01	ENERO     	01	ENERO     	2020	SOLICITA INFORME SOBRE LA SITUACIÓN DEL SNS DEL MTC Y SOBRE LAS MEDIDAS QUE DISPONDRÁN PARA SU ADECUADA ACTUALIZACIÓN RESPECTO A LA PAPELETA 10770722	9	DEFENSORIA DEL PUEBLO	"SE FINALIZA EN VIRTUD DEL OFICIO 599-2020-MTC/17.03 DEL 14.01.2020.
PASA AL ARCHIVO DE LA DCV PARA SU CUSTODIA."	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
E-004298-2020	06-01-2020 06:21:28 PM	23-01-2020 02:58:15 PM	01	ENERO     	01	ENERO     	2020	SOLICITAN  ACTUALIZACIÓN DE COMPROMISOS DE TIPO ACTIVIDAD DE LAS MESAS DE DIALOGO DEL CORREDOR VIAL SUR- ADJ CD	13	PCM	SE REMITO LA INFORMACIÓN SOLICITADA A LOS CORREOS INDICADOS: EBAUTISTA@PCM.GOB.PE CON COPIA A SGSD24@PCM.GOB.PE Y SGSD3@PCM.GOB.PE.	NULL	OFICINA DE DIALOGO Y GESTION SOCIAL-(NUEVO-ROF)
E-003206-2020	06-01-2020 12:07:59 PM	30-01-2020 11:49:51 AM	01	ENERO     	01	ENERO     	2020	SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA , DISTRITO JUDICIAL DE CAÑETE: SOLIICTA SE INFORME SI EL VEHICULO DE PLACA DE RODAJE NRO AMB-810  SE ENCUENTRA AUTORIZADO PARA TRASLADO DE MATERIALES Y RESIDUOS PELIGROSOS. 	18	MINISTERIO PUBLICO	SE  ANEXA  ACTA  DE  NOTIFICACIÓN DEL OFICIO  N°- 203-2020-MTC/17.02,  ADJUNTA  REPORTES,  SE FINALIZA  Y  SE HACE ENTREGA FÍSICAMENTE  LA  RELACIÓN  DE DOCUMENTOS FINALIZADOS   AL  (E)   DEL  ARCHIVO  DSTT- JUAN  GODOY,  PARA   SU  CUSTODIA  Y  ARCHIVO.	NULL	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)
E-007527-2020	08-01-2020 05:09:12 PM	20-01-2020 11:59:15 AM	01	ENERO     	01	ENERO     	2020	RESPECTO A SOLICITUD DE INFORMACIÓN COMPLEMENTARIA SOBRE ACCIONES DE FISCALIZACIÓN AMBIENTAL. 	8	MINISTERIO PUBLICO	SE ATENDIO CON OFICIO N°0215-2020-MTC/16	NULL	ORGANO DE CONTROL INSTITUCIONAL
E-000255-2020	02-01-2020 11:20:24 AM	02-01-2020 02:56:23 PM	01	ENERO     	01	ENERO     	2020	CONDUCCION ESTADO DE EBRIEDAD O DROGADICCION	0	MINISTERIO PUBLICO	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA
(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"	NULL	PROCURADURIA PUBLICA
E-004329-2020	06-01-2020 06:30:18 PM	04-02-2020 08:16:49 PM	02	FEBRERO   	01	ENERO     	2020	 REMITEN INFORMACIÓN EN REF. A HORARIOS DE ATENCIÓN, DE LOS CENTROS DE MEJOR ATENCIÓN AL CIUDADANO DE LA PLATAFORMA DEL MODULO MAC, ADJUNTAN COPIA DE RESOLUCIÓN DE SECRETARIA DE GESTIÓN PUBLICA N° 009-2019-PCM/SGP	21	PCM	SARA MARIA AROBES ESCOBAR - SECRETARIA DE GESTION PUBLICA - PRESIDENCIA DE CONSEJO DE MINISTROS.	NULL	SECRETARIA GENERAL
E-001537-2020	03-01-2020 11:31:16 AM	12-07-2020 02:38:47 PM	07	JULIO     	01	ENERO     	2020	CONDUCCIÓN, OPERACIÓN O MANIOBRA DE VEHÍCULO MOTORIZ/03 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014503-2018-1733-0/IMPUTADO IVAN SOTO TARAZONA 	131	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-008150-2020	09-01-2020 11:06:33 AM	16-01-2020 01:36:25 PM	01	ENERO     	01	ENERO     	2020	QUINCUAGESIMA TERCERA FISCALIA PROVINCIAL PENAL: SOLICITA SE INFORME SI LA PERSONA JORGE PRADO ROMERO TIENE VINCULO LABORAL CON EL MTC. 	5	MINISTERIO PUBLICO	SE NOTIFICO EL OFICIO Nº 023-2020-MTC/11.	NULL	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)
E-008071-2020	09-01-2020 10:41:02 AM	28-01-2020 03:46:20 PM	01	ENERO     	01	ENERO     	2020	TRIGESIMA TERCERA FISCALIA PROVINCIAL PENAL DEL DISTRITO FISCAL DE LIMA:  SOLICITA SE REMITA EN EL PLAZO DE 05 DIAS HABILES COPIAS CERTIFICADAS DEL EXPEDIENTE ADMINSITRATIVO N °2015-2975 SOBRE SOLICITUD DEL CERTIFICADO DE HABILITACION TECNICA DEL TERMINAL DE LA EMPRESA DE TRANSPORTES EL HUARALINO SAC. 	13	MINISTERIO PUBLICO	"SE PROCEDE A FINALIZAR CON OFICIO Nº 924-2020-MTC/17.02, SE ADJUNTA CARGO DE NOTIFICACIÓN DE OFICIO, PASA AL ARCHIVO FÍSICAMENTE - JUAN CARLOS GODOY
"	NULL	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)
E-006289-2020	08-01-2020 09:42:18 AM	30-07-2020 07:23:18 PM	07	JULIO     	01	ENERO     	2020	DELITO DE PELIGRO COMÚN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-1565-0/INVESTIGADO MARLON KENYO CAPCHA CABALLERO 	139	MINISTERIO PUBLICO	INFORME DE ARCHIVO POR PROCESO CONCLUIDO POR PAGO DE REPARACIÓN CIVIL	NULL	PROCURADURIA PUBLICA
E-002339-2020	03-01-2020 05:28:08 PM	03-03-2020 11:56:26 AM	03	MARZO     	01	ENERO     	2020	SOLICITA INFORMACION PARA EL INFORME DE ACTUALIZACION DE PROYECCIONES MACROFISCALES DEL MARCO EN  MACROECONOMICO MULTIANUAL. EL PLAZO MAXIMO DE 15 DIAS HABILES	42	MINISTERIO DE ECONOMIA Y FINANZAS	NULL	NULL	DESPACHO VICEMINISTERIAL DE TRANSPORTES
E-008078-2020	09-01-2020 10:45:11 AM	22-01-2020 03:14:39 PM	01	ENERO     	01	ENERO     	2020	SEGUNDA FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA: SOLIICTA SE REMITA EL RECORD DE TRANSITO QUE PUDIERA EXISTIR REGISTRADO A NOMBRE DE LOS INVESTIGADOS EDDY SILVESTRE MORANTE MIMBELA Y OTROS. 	9	MINISTERIO PUBLICO	SE ATENDIO.	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
E-003242-2020	06-01-2020 12:26:58 PM	22-01-2020 03:43:46 PM	01	ENERO     	01	ENERO     	2020	TERCERA FISCALIA PROVINCIAL PENAL DE HUAMANGA: SOLICITA SE REMITA COPIA CERTIFICADA DEL EXPEDIENTE INTEGRO GENERANDO PAR ALA OBTENCION DE LA LICENCIA DE CONDUCIR DE CARLOS LOPEZ PERALTA. 	12	MINISTERIO PUBLICO	SE ATENDIO.	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
E-000236-2020	02-01-2020 11:14:32 AM	02-01-2020 02:56:24 PM	01	ENERO     	01	ENERO     	2020	SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/06 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014506-2019-1366-0/IMPUTADO EFRAIN CHAVEZ MALPARTIDA 	0	MINISTERIO PUBLICO	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA
(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)"	NULL	PROCURADURIA PUBLICA
E-001397-2020	03-01-2020 10:45:50 AM	04-02-2020 01:35:30 PM	02	FEBRERO   	01	ENERO     	2020	"REMITE INFORME DEL HITO DE CONTROL N° 001-2020-CG/MPROY-SCC, HITO DE CONTROL N° 2 ""CULMINACIÓN DE OBRA Y PROCEDIMIENTO DE RECEPCIÓN DE OBRA"" ADJ 01 ANILLADO."	22	CONTRALORIA GENERAL DE LA REPUBLICA	SE ATENDIÓ CON OFICIO N° 008-2020-MTC/12.08 	NULL	DIRECCION GENERAL DE AERONAUTICA CIVIL
E-000207-2020	02-01-2020 10:57:12 AM	02-01-2020 03:14:56 PM	01	ENERO     	01	ENERO     	2020	USO DE DOCUMENTO FALSO O FALSIFICADO /05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2019-410-0/IMPUTADO PEDRO BAUTISTA LUNA Y DONATO BERROSPI GARAY	0	MINISTERIO PUBLICO	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA
(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)
(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"	NULL	PROCURADURIA PUBLICA
E-005672-2020	07-01-2020 04:51:02 PM	10-07-2020 02:36:37 PM	07	JULIO     	01	ENERO     	2020	REMITE DISPOSICIÓN FISCAL N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014508-2019-2185-0)	129	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-000243-2020	02-01-2020 11:17:01 AM	02-01-2020 04:08:40 PM	01	ENERO     	01	ENERO     	2020	"CASO NRO 2906014500-2019-9080-0

MATERIA: DAÑOS"	0	MINISTERIO PUBLICO	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA
(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)
(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"	NULL	PROCURADURIA PUBLICA
E-003863-2020	06-01-2020 04:21:16 PM	17-01-2020 05:25:36 PM	01	ENERO     	01	ENERO     	2020	SOLICITA EN UN PLAZO DE 10 DÍAS HÁBILES INFORME RESPECTO A LAS MEDIDAS DISPUESTAS PARA ATENDER PROBLEMÁTICA DEL CIUDADANO OMAR SATURNINO MARCA ILLANES.	9	DEFENSORIA DEL PUEBLO	"SE FINALIZA EN VIRTUD DEL OFICIO 511-2020-MTC/17.03 DEL 14.01.2020.
PASA AL ARCHIVO DE LA DCV PARA SU CUSTODIA."	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
